vin|year|make|model|trim|dealer_name|dealer_street|dealer_city|dealer_state|dealer_zip|listing_price|listing_mileage|used|certified|style|driven_wheels|engine|fuel_type|exterior_color|interior_color|seller_website|first_seen_date|last_seen_date|dealer_vdp_last_seen_date|listing_status
KNAFK4A61F5428652|2015|Kia|FORTE|LX|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||53960|TRUE|FALSE|4D Sedan|FWD|1.8L||Silver|Gray|https://xnationautogroup.com|2021-11-24|2022-08-17|2022-08-17|
3GTP1NEJ7HG400459|2017|GMC|Sierra 1500|1500 SLT|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238|32999|99697|TRUE|FALSE|1500 SLT|4X2|6.2L V8||White|N/a|https://xnationautogroup.com|2022-08-04|2022-08-17|2022-08-17|
1B7HF13Z1XJ596452|1999|Dodge|Ram Pickup 1500|Laramie SLT|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|6495|171168|TRUE|FALSE|4dr Laramie SLT 4WD Extended Cab LB|4WD|5.9L V8|Gasoline|Silver|Gray|https://www.clearchoiceautomotive.com|2022-05-10|2022-08-17|2022-05-11|
JTEGD21A720036451|2002|Toyota|Highlander|4DR 2WD AT|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-07-14|2022-08-17|2022-08-17|
1NXBU4EE8AZ361720|2010|Toyota|Corolla||Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-07-26|2022-08-17|2022-08-17|
JM1DKDB74M1500563|2021|Mazda|CX-3|Sport|Manny G Motors|3518 Nogalitos St|San Antonio|TX|78211|24999|15854|TRUE|FALSE|Sport 4dr Crossover|FWD|2.0L I4||Gray|N/a|https://mannygmotorssa.com|2022-07-09|2022-08-14||
1FMSK7DH3NGC18195|2022|Ford|Explorer XLT SUV||Weber Motor Company|1402 E Broadway St|Cuero|TX|77954|45945||FALSE|FALSE|||||||https://www.webermotorcompany.com|2022-08-17|2022-08-17|2022-08-17|in_transit
3GKEC16Z24G146379|2004|GMC|Yukon XL|SLE|Max Auto Sales|4895 Johnston St|Lafayette|LA|70503|||TRUE|FALSE|||||||https://maxautosalesla.com|2022-07-14|2022-08-17|2022-08-17|
WAUKF78P99A015926|2009|Audi|A3|2.0T quattro S line|Clear Choice Automotive|3815 SE Naef Rd|Milwaukie|OR|97267|10990|100321|TRUE|FALSE|AWD 2.0T Quattro S line 4dr Wagon 6A|AWD|2.0L I4 Turbocharger|Gasoline|Charcoal|Black|https://www.clearchoiceautomotive.com|2022-03-30|2022-08-17|2022-04-17|
1C4BJWEGXEL210903|2014|Jeep|Wrangler Unlimited|Sahara 4WD|Max Auto Sales|5811 El Cajon Blvd|San Diego|CA|92115|22995|142650|TRUE|FALSE|suv|Four-Wheel Drive|285 hp 3.6L V6|Gasoline|White|Black|https://www.maxautosales.info|2022-02-26|2022-08-16|2022-05-19|
1GKKRRKD6GJ177728|2016|GMC|Acadia|SLT-1|X Nation Auto Group|6003 Bandera Rd|San Antonio|TX|78238||130509|TRUE|FALSE||FWD|3.6L||Black||https://xnationautogroup.com|2022-04-09|2022-08-17|2022-08-17|
